,T,s,S,R3,z,Z,R2,E,N
cell_220,False,False,False,True,True,False,True,True,True
cell_223,True,False,True,True,False,False,True,True,True
cell_224,True,False,True,False,True,False,True,True,True
cell_227,True,False,True,False,False,False,True,True,True
cell_228,True,True,True,False,True,False,True,True,True
cell_230,False,True,True,False,True,False,True,True,True
cell_233,True,False,False,True,True,True,False,False,False
cell_234,True,False,False,True,True,False,True,False,False
cell_235,True,False,True,False,False,False,True,False,False
cell_236,True,False,True,False,True,True,True,False,False
cell_237,True,True,True,True,False,True,True,False,False
cell_243,False,True,False,True,True,False,True,False,True
cell_244,False,False,False,True,True,False,True,False,True
cell_245,False,True,False,False,True,False,False,False,True
cell_251,True,False,False,True,True,False,True,False,True
cell_252,True,True,False,False,True,False,True,False,True
cell_253,False,False,True,True,False,False,True,False,True
cell_254,False,True,True,False,True,True,False,False,True
cell_255,False,False,True,False,False,True,False,False,True
cell_258,False,True,True,False,False,True,False,False,True
cell_263,True,True,False,False,False,True,True,True,False
cell_266,True,True,True,False,True,False,False,True,False
cell_267,True,True,True,True,True,False,False,True,False
cell_268,True,True,True,False,True,False,False,True,True
cell_269,True,False,True,False,True,False,False,True,True
cell_272,True,False,True,False,True,False,False,True,False
cell_273,True,False,False,True,False,False,False,True,False
cell_274,True,True,False,False,False,False,False,True,False
cell_276,True,True,False,True,True,False,True,True,False
cell_281,True,True,False,True,False,False,False,True,False
cell_282,True,True,False,True,True,False,False,True,False
cell_283,True,False,False,True,True,True,True,False,False
cell_284,True,False,False,False,True,True,True,False,False
cell_287,True,False,True,True,True,True,True,False,False
cell_288,True,True,True,True,True,False,True,False,False
cell_289,True,False,True,True,True,False,True,False,False
cell_293,False,False,False,True,False,True,True,True,False
cell_294,False,False,False,False,False,False,False,False,False
cell_295,False,False,False,False,False,False,True,False,False
cell_296,False,False,False,True,False,False,True,False,False
cell_299,False,False,False,True,True,False,True,False,False
cell_302,True,False,False,True,False,False,True,True,False
cell_303,True,True,True,False,False,False,False,False,True
cell_305,True,True,True,True,False,True,False,False,True
cell_307,True,True,True,False,False,True,False,False,True
cell_308,True,False,True,False,True,True,False,False,True
cell_309,True,True,True,False,True,True,True,False,True
