g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,PseudoTime
-1.6375066,-1.1039678999999998,-2.3111525,-1.3378663999999998,-0.22869624,0.08368893,-0.9772207,0.8412132999999999,1.0260981,1.2444187,1.4813185,0.92816055
-1.9728163,-0.094678134,0.3200653,-1.3193808999999999,0.14347793,-0.0085532125,0.03788593,0.9560711999999999,0.91029066,1.2147332,0.8132188,0.81944054
-1.3909495,-2.8127400000000002,-1.4091718,-0.9944622,-0.56483954,-0.23408598,-0.36896986,0.74230975,1.0826803,1.3086870000000002,1.4230918,0.93531346
-1.4865776000000002,-2.6649439999999998,-1.3336843999999999,-0.030827552,0.7094661999999999,1.0703871,-0.35576174,0.9034300999999999,0.856524,1.2104325,1.5557413999999998,0.9147481
-1.6482441000000003,-1.6831848999999999,0.59187967,-0.38990712,-0.4709266,0.37513027,0.88263637,0.8363271999999999,0.73590493,1.0916281,1.4385974,0.8819233
0.011001363,-0.028938487000000002,0.54319805,-0.8538879999999999,-0.39790204,0.44120459999999995,-0.9822245999999999,0.7567593,1.0458565999999998,1.0467294,0.74353945,0.7724474
-1.9474363000000001,-1.1199489,0.29259446,-0.33108306,0.066596195,-0.54943997,0.8750298000000001,0.8105227,0.9396306000000001,1.161281,1.4278291,0.8206983
-0.7473699,-2.5373442,-0.9528593000000001,-0.16932496,-0.9068671999999999,-0.0042432034,-0.25219604,0.76702875,1.0512536,1.2840419,1.4469482,0.92066276
-1.0465039,-1.4213408,-1.2967812,0.8972697000000001,-0.9476653,-0.9521871999999999,0.30512607,0.9124302,1.0549582,1.2828743,1.233671,0.9477458000000001
-1.3273208,-1.6246078000000002,0.6831537,-0.65085393,0.14029782,-0.7386630999999999,-0.9162763,0.6950284999999999,0.8869783000000001,1.1435111999999998,1.3429636,0.83721155
-0.9500101999999999,-2.3812356,-0.5660786,-0.23161341,0.3557567,-0.38639545,-0.6084581,0.8633443000000001,1.0064813,1.1877457,1.4917295,0.9090593000000001
-1.8475061999999998,-2.5387513999999998,0.042621642,0.8263845,-0.8177491,0.55104923,0.27140132,0.7383231,1.0181396,1.1766956,1.4849347,0.9471708000000001
-0.6220305,-1.1752456,0.6247375,-0.9869472,-1.6489716,-0.0038519017,-0.8967377000000001,0.7026439999999999,0.9871037,1.1020992,1.297094,0.8692163
-1.5868559,-1.4383376,-1.3792913,-0.53923243,-0.79974496,-0.63120514,-1.114682,0.89204544,1.0171679,1.1066071000000002,1.5619733,0.8944964
-1.291165,-2.1787077999999998,0.17640173,-0.16830511,0.16136707,0.28809409999999996,-1.0779116000000002,0.96318156,0.94919443,1.1700857,1.2591004,0.88964045
-1.9453055000000001,-2.050684,-2.8844364,0.29136768,0.5224232,-0.6059270999999999,-0.392952,0.78114665,1.035367,1.2275323999999999,1.5402551000000002,0.9595955
-1.8416703,-1.3838885,-2.030965,-0.46249837,0.16589765,-0.72059834,-0.75583863,0.77198243,0.99187976,1.3232241000000002,1.4864566000000001,0.89169675
