,Time
cell_247,0.05722176
cell_248,0.04689942
cell_249,0.043609592999999995
cell_250,0.041408263
cell_251,0.03876627
cell_252,0.037990008
cell_253,0.04561227599999999
cell_254,0.044165295
cell_255,0.056805354
cell_256,0.077106655
cell_257,0.10071291
cell_258,0.117701486
cell_259,0.12735927
cell_260,0.13819095
cell_261,0.14515318
cell_262,0.14500673
cell_263,0.09300876
cell_264,0.07190827
cell_265,0.07166575
cell_266,0.06303565
cell_267,0.06544065
cell_268,0.066364355
cell_269,0.07308975599999999
cell_270,0.07623639
cell_271,0.087450124
cell_272,0.08982198
cell_273,0.10507692
cell_274,0.08657185
cell_275,0.08289643
cell_276,0.07736622
cell_277,0.07388839
cell_278,0.07549682
cell_279,0.07029712
cell_280,0.07184034
cell_281,0.06781112
cell_282,0.06837115
cell_283,0.030441402000000003
cell_284,0.020204747
cell_285,0.023817727
cell_286,0.024212057000000002
cell_287,0.025119602999999997
cell_288,0.023801219
cell_289,0.027498262000000002
cell_290,0.03546511
cell_291,0.03586718
cell_292,0.03513423
cell_293,0.13851033
cell_294,0.1301979
cell_295,0.14054382
cell_296,0.12917818
cell_297,0.13328518
cell_298,0.120119385
cell_299,0.12511201
cell_300,0.12731077
cell_301,0.11464629999999999
cell_302,0.11835143
cell_303,0.056456375999999996
cell_304,0.074382015
cell_305,0.07145233
cell_306,0.058639273
cell_307,0.053876955
cell_308,0.052998114000000006
cell_309,0.052211404
cell_310,0.052021075
cell_311,0.052191685999999994
cell_312,0.05080811
cell_313,0.047216408
cell_314,0.084859066
cell_315,0.06484089999999999
cell_316,0.05399655
cell_317,0.054176815
cell_318,0.05012887
cell_319,0.032091178
cell_320,0.03113487
cell_321,0.014756223999999998
cell_322,0.021757007000000002
cell_323,0.023927081
cell_324,0.114125125
cell_325,0.11476087
cell_326,0.095338695
cell_327,0.08270309
cell_328,0.06965445
cell_329,0.06542002
cell_330,0.060796335
cell_331,0.060929995
cell_332,0.058907043
cell_333,0.058382913
cell_334,0.10988811400000001
cell_335,0.119559325
cell_336,0.12148614
cell_337,0.11773840000000001
cell_338,0.12569082
cell_339,0.14358678
cell_340,0.17379461
cell_341,0.1999979
cell_342,0.22132055
cell_343,0.22378369
cell_344,0.048489355
cell_345,0.040147074
cell_346,0.03674725
cell_347,0.032093845
cell_348,0.028855497
cell_349,0.043360635999999994
cell_350,0.036961053
cell_351,0.043367457000000005
cell_352,0.048960533
cell_353,0.053192127
cell_354,0.066234425
cell_355,0.06448584
cell_356,0.05333318
cell_357,0.04947076
cell_358,0.05829359
cell_359,0.05826194
cell_360,0.055162355
cell_361,0.05838118
cell_362,0.055240825
cell_363,0.053233687
cell_364,0.018439663999999998
cell_365,0.029734247999999998
cell_366,0.037815303
cell_367,0.05031765
cell_368,0.07062740599999999
cell_369,0.07685118
cell_370,0.09931199
cell_371,0.1052126
cell_372,0.12326396
cell_373,0.12242560000000001
cell_374,0.10157246
cell_375,0.09821822
cell_376,0.10424845
cell_377,0.10615276
cell_378,0.114506386
cell_379,0.12777223
cell_380,0.12558216
cell_381,0.13920470000000001
cell_382,0.13654729999999998
cell_383,0.13546886
cell_384,0.13831139
cell_385,0.13923010000000002
cell_386,0.15033294
cell_387,0.14738729999999997
cell_388,0.15412739
cell_389,0.13888538
cell_390,0.15411249
cell_391,0.14278832
cell_392,0.15957402
cell_393,0.14676479
cell_394,0.12458970400000001
cell_395,0.08764251
cell_396,0.091114506
cell_397,0.06740675
cell_398,0.046698697000000004
cell_399,0.025863089
cell_400,0.030222152999999998
cell_401,0.044976506
cell_402,0.05294432
cell_403,0.060838185
cell_404,0.12699544
cell_405,0.13107361
cell_406,0.12643489
cell_407,0.12711443
cell_408,0.13287894
cell_409,0.13080698
cell_410,0.13357139
cell_411,0.1400027
cell_412,0.14072157
cell_413,0.14089513
cell_414,0.13760547
cell_415,0.10735945
cell_416,0.10545276
cell_417,0.107329816
cell_418,0.09400012
cell_419,0.09420242
cell_420,0.087169565
cell_421,0.084857285
cell_422,0.080475636
cell_423,0.079827756
cell_424,0.07401502
cell_425,0.049154147999999995
cell_426,0.05835781
cell_427,0.04910351
cell_428,0.045618042000000004
cell_429,0.03810492
cell_430,0.041322782999999995
cell_431,0.042279866
cell_432,0.046700664
cell_433,0.04677647
cell_434,0.043479897
cell_435,0.079181276
cell_436,0.07973342
cell_437,0.07988880000000001
cell_438,0.077049516
cell_439,0.07755311599999999
cell_440,0.07878648
cell_441,0.07499639
cell_442,0.07599439
cell_443,0.075722106
cell_444,0.07372576
cell_445,0.12527908
cell_446,0.12102482
cell_447,0.12630107
cell_448,0.1255647
cell_449,0.12920935
cell_450,0.12870353
cell_451,0.13406171
cell_452,0.14224295
cell_453,0.14087282
cell_454,0.14021575
cell_455,0.14364259
cell_456,0.14694354
cell_457,0.14212371
cell_458,0.13487677
cell_459,0.13849483
cell_460,0.14004101
cell_461,0.14961804
cell_462,0.144561
cell_463,0.14138627
cell_464,0.13391906
cell_465,0.09319747
cell_466,0.074012235
cell_467,0.06960589
cell_468,0.060746126
cell_469,0.05623489
cell_470,0.05367071599999999
cell_471,0.053779263
cell_472,0.053626205999999996
cell_473,0.053775545
cell_474,0.054063648
cell_475,0.082699865
cell_476,0.08484286
cell_477,0.07754112
cell_478,0.08147103
cell_479,0.08293147
cell_480,0.081399925
cell_481,0.0870809
cell_482,0.08275298
cell_483,0.085593015
cell_484,0.080342524
cell_485,0.13564853
cell_486,0.13253334
cell_487,0.12345347599999999
cell_488,0.12686966
cell_489,0.12364109
cell_490,0.12569782
cell_491,0.12650886
cell_492,0.12856098
cell_493,0.13096423
cell_494,0.12512183
cell_495,0.13333131
cell_496,0.13501929
cell_497,0.13665718
cell_498,0.12528668
cell_499,0.12833598
cell_500,0.11797681
cell_501,0.12074677
cell_502,0.109370895
cell_503,0.11176701
cell_504,0.10911596
cell_505,0.11237696
cell_506,0.10928773
cell_507,0.10599016
cell_508,0.097032465
cell_509,0.09110896
cell_510,0.08835132
cell_511,0.08237507
cell_512,0.07050725
cell_513,0.064105436
cell_514,0.060252238
cell_515,0.055091999999999995
cell_516,0.093897365
cell_517,0.09249503
cell_518,0.08610788
cell_519,0.08410653
cell_520,0.08654982
cell_521,0.081352144
cell_522,0.071681164
cell_523,0.07282351
cell_524,0.06956117
cell_525,0.07183551
cell_526,0.04305819
cell_527,0.04271168
cell_528,0.042516258
cell_529,0.042831577
cell_530,0.05109322
cell_531,0.05467903599999999
cell_532,0.059203733
cell_533,0.06270289400000001
cell_534,0.07606136
cell_535,0.080604814
cell_536,0.030991746
cell_537,0.033361334
cell_538,0.027876299999999996
cell_539,0.029995052
cell_540,0.028779024
cell_541,0.030648723
cell_542,0.035580307
cell_543,0.028236166
cell_544,0.035492584
cell_545,0.035128817
cell_546,0.14344186
cell_547,0.12748368
cell_548,0.11652981
cell_549,0.11333922
cell_550,0.09805417
cell_551,0.08481595
cell_552,0.08755123
cell_553,0.07111038
cell_554,0.07514617
cell_555,0.07645707
cell_556,0.10512872
cell_557,0.106268235
cell_558,0.106665604
cell_559,0.11357173
cell_560,0.105419435
cell_561,0.11027934
cell_562,0.113120265
cell_563,0.11323815599999999
cell_564,0.11543091400000001
cell_565,0.11231956
cell_566,0.12965564
cell_567,0.14101101
cell_568,0.132758
cell_569,0.13050552
cell_570,0.12895979999999999
cell_571,0.13609362
cell_572,0.12019026
cell_573,0.13356479999999998
cell_574,0.11776546
cell_575,0.098715745
cell_576,0.11827164
cell_577,0.11992069
cell_578,0.12188646
cell_579,0.11308253
cell_580,0.11819029
cell_581,0.113941684
cell_582,0.10718110000000002
cell_583,0.09848238
cell_584,0.085002564
cell_585,0.08238184
cell_586,0.12187112
cell_587,0.1233595
cell_588,0.12372897599999999
cell_589,0.11744608
cell_590,0.11597217
cell_591,0.10693411
cell_592,0.11126793
cell_593,0.1086431
cell_594,0.12400532
cell_595,0.122970685
cell_596,0.12053068
cell_597,0.115667135
cell_598,0.10893287
cell_599,0.106106564
cell_600,0.107399985
cell_601,0.108396456
cell_602,0.10731886
cell_603,0.11279727
cell_604,0.11084200400000001
cell_605,0.10992902
cell_606,0.02389284
cell_607,0.024273227999999997
cell_608,0.020598566000000002
cell_609,0.022579275
cell_610,0.02643669
cell_611,0.024969347000000003
cell_612,0.027482549
cell_613,0.027519112000000002
cell_614,0.030822435
cell_615,0.031809233
cell_616,0.037273146
cell_617,0.038294497999999996
cell_618,0.03746002
cell_619,0.03263039
cell_620,0.03243901
cell_621,0.02903789
cell_622,0.025678275
cell_623,0.024663927000000002
cell_624,0.02057074
cell_625,0.018802369
cell_626,0.01730465
cell_627,0.052469894
cell_628,0.055745058
cell_629,0.059627037
cell_630,0.06178226
cell_631,0.078861825
cell_632,0.08331670599999999
cell_633,0.08281974
cell_634,0.09309684
cell_635,0.102132745
cell_636,0.10887338
cell_637,0.11583921
cell_638,0.081425376
cell_639,0.07982927
cell_640,0.07997229
cell_641,0.05593675
cell_642,0.05012405
cell_643,0.046930853
