Gene1	Gene2	Score
x_g3	x_g1	-0.750835767258487
x_g1	x_g3	-0.750835767258487
x_g3	x_g4	0.455912304647396
x_g1	x_g4	-0.416523775593353
x_g3	x_g5	0.352325260961754
x_g1	x_g5	-0.350856429331893
x_g3	x_g2	-0.334846232964724
x_g4	x_g6	0.321899162766376
x_g1	x_g2	0.307441792634833
x_g2	x_g1	-0.293921682628915
x_g4	x_g1	-0.288652172506776
x_g3	x_g6	0.285753831242081
x_g4	x_g5	0.282650633956352
x_g2	x_g4	-0.274344439499337
x_g1	x_g6	-0.263518918693428
x_g5	x_g4	0.2510939926772
x_g11	x_g1	0.25066721237109
x_g2	x_g6	-0.247088878017518
x_g2	x_g5	-0.24428188948846
x_g1	x_g11	0.243302450600603
x_g11	x_g3	-0.242422954600533
x_g3	x_g11	-0.232517457042178
x_g7	x_g1	0.229250224423973
x_g3	x_g7	-0.225456414911331
x_g7	x_g5	-0.224160293599801
x_g3	x_g10	-0.223612116978067
x_g11	x_g4	-0.222783434653125
x_g10	x_g3	-0.216547651391017
x_g8	x_g1	0.211637151914619
x_g1	x_g8	0.211637151914619
x_g1	x_g9	0.211316056846056
x_g7	x_g6	-0.206873893509366
x_g10	x_g1	0.206298356318413
x_g6	x_g11	0.20533305327076
x_g7	x_g3	-0.204524622495431
x_g5	x_g1	-0.204456848624983
x_g1	x_g7	0.202515341301737
x_g6	x_g2	0.19905089432985
x_g2	x_g3	-0.197759843027392
x_g6	x_g4	-0.196895568556325
x_g6	x_g1	0.196472798170412
x_g8	x_g3	-0.190118800931766
x_g10	x_g5	-0.189239777945126
x_g1	x_g10	0.188370959184532
x_g11	x_g2	0.18785701367364
x_g8	x_g6	0.187267048055084
x_g4	x_g7	0.184143949767078
x_g11	x_g5	-0.18217418552057
x_g7	x_g2	0.179794895581405
x_g5	x_g6	0.178870857209657
x_g2	x_g9	0.177416429283546
x_g3	x_g9	-0.176783233319203
x_g10	x_g4	-0.17314951558185
x_g10	x_g2	0.172571657697596
x_g3	x_g8	-0.172404307552027
x_g2	x_g11	0.172166334256909
x_g6	x_g5	-0.170279246465256
x_g8	x_g2	0.168981192632224
x_g5	x_g2	-0.168484025391218
x_g7	x_g4	-0.168361799644262
x_g10	x_g8	-0.164596801527652
x_g11	x_g6	-0.164200747424285
x_g4	x_g11	-0.162853591779413
x_g6	x_g3	-0.16187875776954
x_g4	x_g2	-0.161764317598079
x_g6	x_g8	0.159997998619287
x_g9	x_g2	0.159749615500461
x_g2	x_g10	0.157278978700613
x_g9	x_g1	0.155156571515554
x_g10	x_g6	0.15429837193299
x_g7	x_g8	-0.153796931431298
x_g4	x_g8	-0.150838543331582
x_g5	x_g10	-0.150269326069864
x_g11	x_g7	0.149159510790097
x_g8	x_g11	0.1473234750732
x_g10	x_g7	0.147059101291401
x_g5	x_g11	-0.146756307695133
x_g11	x_g9	0.146727831843837
x_g11	x_g8	0.145146845388222
x_g8	x_g7	0.144707900275384
x_g5	x_g9	-0.144593149247151
x_g9	x_g3	-0.144418725339003
x_g9	x_g11	0.144396529632637
x_g6	x_g7	0.144373278451018
x_g5	x_g7	0.142345082273111
x_g4	x_g9	-0.1421524679935
x_g4	x_g10	-0.141865720462587
x_g9	x_g4	-0.141829353874179
x_g10	x_g11	0.14067410446449
x_g11	x_g10	0.140509043793041
x_g9	x_g6	-0.139307383036553
x_g10	x_g9	0.138171028893796
x_g9	x_g8	0.13679452547608
x_g7	x_g11	0.135734097202867
x_g8	x_g9	0.134470759094413
x_g5	x_g8	0.134073338444742
x_g9	x_g7	0.134027613467882
x_g6	x_g9	0.13364281775699
x_g2	x_g7	-0.133443836289212
x_g7	x_g9	0.132798791796499
x_g8	x_g10	0.13169026361478
x_g7	x_g10	0.131558299632079
x_g9	x_g10	0.131006436938033
x_g6	x_g10	0.130331945385491
x_g5	x_g3	0.128900546682146
x_g8	x_g4	-0.126367366157637
x_g9	x_g5	-0.1257439668406
x_g4	x_g3	0.123350198900258
x_g2	x_g8	-0.122699950815391
x_g8	x_g5	-0.112625495303216
