,T,s,S,R3,z,Z,R2,E,N
cell_183,False,False,False,False,True,True,True,True,False
cell_184,False,False,False,True,True,True,False,True,False
cell_185,False,False,False,True,True,True,False,False,False
cell_187,False,False,True,True,True,True,False,False,False
cell_189,False,False,True,False,True,True,False,True,False
cell_190,False,False,True,False,True,True,False,False,False
cell_193,False,True,False,True,False,False,True,True,False
cell_200,False,True,False,True,False,True,False,True,False
cell_201,False,False,False,True,False,True,False,True,False
cell_202,True,False,True,True,False,False,True,True,True
cell_203,True,False,True,True,True,False,False,True,True
cell_204,False,False,True,True,True,False,False,True,True
cell_205,False,False,True,True,False,False,False,False,True
cell_206,True,False,True,True,False,False,False,False,True
cell_213,True,False,False,False,True,True,True,False,False
cell_214,True,True,False,False,False,True,True,False,False
cell_215,True,False,True,False,False,True,True,True,False
cell_221,True,False,True,True,False,True,True,True,False
cell_223,True,True,True,True,False,True,True,True,True
cell_225,True,False,True,True,False,True,False,True,True
cell_230,True,False,True,True,True,False,True,True,True
cell_231,True,False,True,True,True,False,True,False,True
cell_233,True,True,True,False,True,True,True,False,True
cell_236,True,True,True,False,True,False,True,True,True
cell_239,True,True,True,True,True,False,True,True,True
cell_240,True,True,False,True,True,False,True,True,True
cell_243,False,True,True,False,False,False,False,False,True
cell_245,False,False,True,False,False,False,False,False,True
cell_250,False,True,True,True,False,False,True,False,True
cell_251,False,False,True,True,False,False,True,False,True
cell_252,False,True,True,False,False,False,True,False,True
cell_253,False,False,True,False,True,True,True,True,True
cell_254,False,False,True,False,False,False,True,True,True
cell_255,False,True,True,False,False,False,True,True,True
cell_256,False,True,True,True,False,False,True,True,True
cell_264,True,False,True,False,True,False,True,False,False
cell_265,True,False,True,False,False,False,True,False,False
cell_267,True,False,False,False,True,False,True,True,False
cell_268,True,False,False,False,True,True,True,True,False
cell_269,True,False,False,True,True,True,True,True,False
cell_271,True,False,False,False,True,True,False,False,False
cell_273,False,True,True,False,False,False,True,False,False
cell_274,False,True,True,True,False,False,True,False,False
cell_275,False,False,True,True,False,False,True,False,False
cell_277,False,False,True,False,False,False,True,False,False
cell_282,False,True,True,True,False,False,False,True,False
cell_284,True,False,True,True,False,True,True,False,True
